text,mood
having a great day,happy
this is wonderful,happy
love how things are going,happy
feeling pretty good today,happy
doing amazing,happy
beautiful weather today,happy
got so much accomplished,happy
haha that was hilarious,happy
finally some good news,happy
everything's going perfectly,happy
feeling kinda down today,sad
life's hard sometimes,sad
miss the old days,sad
everything feels empty,sad
not having a good day,sad
tried hard but didn't work out,sad
feeling low,sad
feel left out,sad
nothing matters,sad
no one cares,sad
just me and my thoughts,sad
wish someone was here,sad
feel alone even with people,sad
need someone to talk to,sad
isolated from everyone,sad
disconnected from the world,sad
this is making me so mad,angry
I'm really angry about this,angry
driving me crazy,angry
they totally screwed up,angry
I'm not cool with this,angry
that was so dumb,angry
I'm done with them,angry
stop wasting my time,angry
about to lose it,angry
this is ridiculous,angry
I can do this all day,excited
this is amazing,excited
I can't wait,excited
this is gonna be amazing,excited
this is awesome,excited
onepiece is real,excited
this is incredible,excited
I'm so hyped,excited
I'm so excited,excited
this is beyond exciting,excited
this is the best thing ever,excited
dream come true,excited
feeling pretty relaxed,calm
everything's peaceful,calm
so calm right now,calm
taking it easy today,calm
no rush today,calm
feeling centered,calm
got everything under control,calm
enjoying the quiet,calm
just going with the flow,calm
feeling balanced,calm
feeling really down,depressed
everything feels hopeless,depressed
done with life,depressed
don't see the point,depressed
feels meaningless,depressed
drowning in sadness,depressed
I can't do this anymore,depressed
feel empty inside,depressed
everything is falling apart,depressed
lost in darkness,depressed
I'm so furious right now,furious
can't believe this happened,furious
getting on my nerves,furious
I'm seeing red,furious
this is unacceptable,furious
don't mess with me,furious
pushed me over the edge,furious
boiling with rage,furious
this is the last straw,furious
never been so angry,furious
feeling pretty content,content
life's good,content
no complaints here,content
everything's fine,content
no drama today,content
happy where I am,content
nothing special but good,content
chill day,content
got no complaints,content
life's treating me well,content
losing my patience,frustrated
why this isn't working,frustrated
same problem again,frustrated
why do I bother,frustrated
this is so frustrating,frustrated
nothing's going right,frustrated
this is upsetting,frustrated
can't believe how frustrating this is,frustrated
how things turned out is frustrating,frustrated
this is so annoying,frustrated
deeply frustrated by this,frustrated
we need to talk,serious
this isn't a joke,serious
want an honest answer,serious
don't take this lightly,serious
this matters to me,serious
let's not mess around,serious
need you to focus,serious
this needs attention,serious
stakes are high,serious
gotta be professional,serious
nothing to do,bored
this class is so long,bored
bored out of my mind,bored
just scrolling mindlessly,bored
same thing every day,bored
everything's so dull,bored
need some excitement,bored
this is putting me to sleep,bored
dying of boredom,bored
when will this end,bored
barely slept last night,tired
I'm exhausted,tired
need a nap right now,tired
I need rest so bad,tired
work drained me,tired
so sleepy,tired
completely worn out,tired
no energy left,tired
I'm so tired,tired
tired of explaining,tired
can you not,irritated
that's so irritating,irritated
why can't people listen,irritated
this noise is killing me,irritated
need some space,irritated
seriously stop,irritated
getting under my skin,irritated
this is so irritating,irritated
everything's bothering me,irritated
easily annoyed today,irritated
what just happened,confused
I don't get it,confused
wait what's the point,confused
now I'm lost,confused
thought I understood but nope,confused
can someone explain again,confused
this makes no sense,confused
I'm puzzled,confused
my brain's scrambled,confused
no idea what's going on,confused
things will get better,hopeful
new day new chance,hopeful
trying to stay positive,hopeful
trusting the process,hopeful
there's light ahead,hopeful
keeping the faith,hopeful
tomorrow will be better,hopeful
believe in good outcomes,hopeful
things are looking up,hopeful
staying optimistic,hopeful
it's killing me,stressed
need a break badly,stressed
can't think straight,stressed
so much pressure,stressed
overwhelmed with everything,stressed
at my breaking point,stressed
need to decompress,stressed
feeling worried,stressed
nervous about the test,stressed
hands are shaking,stressed
hope I don't mess up,stressed
this is scary,stressed
hate public speaking,stressed
not sure I'm ready,stressed
what if it goes wrong,stressed
feeling really nervous,stressed
can't stop thinking,stressed
having second thoughts,stressed
confidence is shaking,stressed
this sucks,stressed
really appreciate today,grateful
so lucky right now,grateful
feeling blessed,grateful
that meant a lot,grateful
can't thank you enough,grateful
grateful for small things,grateful
thankful for this chance,grateful
life's been kind,grateful
appreciate the support,grateful
blessed beyond measure,grateful
hey,neutral
what's the plan today,neutral
let's grab coffee,neutral
running a bit late,neutral
stuck in traffic,neutral
hello,neutral
let me know when you're free,neutral
just another day,neutral
nothing much happening,neutral
how's your day,neutral
