text,mood
I'm feeling so happy today!,happy
This is the best day ever!,happy
I love everything right now!,happy
I'm really sad about the news.,sad
I feel so down and gloomy.,sad
Life is tough and depressing.,sad
This makes me so angry!,angry
I can't believe how furious I am!,angry
This is so infuriating!,angry
I'm excited about the upcoming event.,excited
I can't wait for the party!,excited
So thrilled for the trip!,excited
I'm feeling a bit anxious.,anxious
I have a lot of worries on my mind.,anxious
I'm nervous about the exam.,anxious
I'm relaxed and calm right now.,calm
Feeling so peaceful and at ease.,calm
Everything feels serene and tranquil.,calm
I'm absolutely thrilled!,thrilled
This is beyond exciting!,thrilled
I can't contain my excitement!,thrilled
I'm feeling down and depressed.,depressed
Everything feels hopeless.,depressed
I'm in a dark place emotionally.,depressed
I'm furious about the mistake.,furious
I can't believe this happened!,furious
This is so upsetting!,furious
I'm feeling quite content.,content
Life is good and satisfying.,content
I have no complaints at all.,content
I can't wait,excited
Hello,neutral
